user_id,review_id,,votes.cool,business_id,votes.funny,stars,date,votes.useful
sIh0-dEP3_rydcFVuNYljg,pp4phZZMauloHV4lrcNTkQ,,0,DJKpwLp4mISNDNDpNz67tw,0,4,2014-07-17,2
8U6I0GuBasZa9rapy2H-8A,SpvLZtl52sA4K74BR-NerA,,0,aeRyndix1wheBlff2FBsMg,0,5,2011-08-16,0
2x2qN6ZWRZ4Zal8RmQAu-Q,2Mn6bfJUQy0bXXJUqfnf7w,,0,1z8GEz_Gr7qeBBuMp42WBQ,0,1,2015-09-09,1
zJlzNkIngaIV_crtUKdykQ,h-oWev9e62ldxs-39MuldA,,1,rDvz5jX65gpfONFu7er9Tw,0,5,2010-04-25,3
KmvqMHiw9VXBBH5DeM0Hlw,liJehyJySUI58TMQMMT9TA,,0,dKezWbuwb6O2em-hYehrRg,0,4,2014-05-17,0
3c-HTCk1jSGU7NYaNgIYtA,iWx6ivIBzgDtKaiMG1eWFQ,,0,dA64XqxzgKiDx_PA-V30HQ,0,2,2010-10-24,0
L8NC1S3O0AgBwrysvG1wfw,if7qI6E4_qb4vbQjjMgHOw,,0,NRbxQLwFyfb7BC0Vs2ld5A,0,5,2014-10-02,1
ZWdsr06AvPgDzahZQ7hd2g,N-CKpxTHnDo-Mn54HdVfAw,,2,oOo0xGOVq7cYTP1fORdoFg,0,4,2014-01-30,4
WXLZP1PmTiYu3yaA-azP4w,YN1nyJzhQoEJOwonByXrTg,,0,dC6rDLGRoch_DOZk5kLkWw,0,1,2015-12-18,1
ay0jwqzU3llVWG6EIe37eQ,yDmpRhVHQqcMfcSxZ0LsKg,,1,J8XafvvbGCNwWesfHTqc1Q,0,4,2012-11-07,0
QLwkL9Y7vngd89PpWo724A,k23yFa052mPpqkP8qgis4w,,0,oOWmiJhjlhqf5_NqLV8OJg,1,3,2014-11-07,3
C51mCgb89mnR1YU0KkFxyA,8MjiFqMM2cONxcgjKP6JlQ,,0,yTQjQZzY8fsJ6F9n6nhSrA,0,4,2015-01-26,0
XiZNNBX3NtUzdtvRoMZkqg,vUjRlHj4lZZWPVgUnzy0JA,,0,SNyxwFx8i20SoDlN4dBS4Q,0,5,2015-01-31,0
5Yi1aQiPW2o05OlAILzbKA,SUdynzFdmWvVTRSYiuVM-w,,0,LwcPCJhHamoZcEaEU1ax7A,0,1,2015-09-21,1
5Yi1aQiPW2o05OlAILzbKA,lCABWtu-jZXcltvAvlNn7Q,,0,LwcPCJhHamoZcEaEU1ax7A,1,1,2015-10-15,0
xfVTqB974zQ7X_3dufgPsQ,jtk9DgZ9TkrhM5sa3HGNTw,,0,0zjzaE5tCH86JnPZwDpfaw,0,4,2014-05-25,0
pXm-Ea4I0n9oN1qip3xPDQ,aZg58bj6KAKLbtdv5edibw,,2,c1yGkETheht_1vjda7G5sA,1,5,2010-03-20,2
M96-DBTjf9VwBzTjYhG2JA,xLc7BjV35D6Mm_7cVKZg4g,,0,o-0IU3bcuXnxflPo14cjUQ,0,5,2013-05-07,1
NfFLfLqHW2EswH4Bt0xbXA,ORHZG5J3o4XvEZp-26ViFQ,,1,8Eh-lPCEXfGP72gQTct-lw,1,5,2014-08-28,2
17LPTsu4RgqTZ3SxsGzzxw,ZYyy1qHDOs6Ei_NZFq0b-w,,7,hkHipyTdUQToHRzHEQY-fQ,4,5,2010-12-17,6
PxJSO47MaydZBV6n1TNtLA,D7b5IA6UW8KFNsGFXD26mQ,,1,XoW1XxAqxuh8EadwtHSyig,2,5,2013-02-22,1
3DhYF6MRZ8QeUR-rXO7q8Q,G681m-uzEcbC9fCDypPOiA,,1,89KKjWUvQIUCuraLf7jYXg,1,5,2011-03-14,2
kFGzlsWhZ2YjFXi9LwzwLg,GcYld3u2pDolXetCFIHn1Q,,0,P17Ea0Y1Fo4gObsTGyHFnw,0,5,2015-09-16,0
4Ebe5vSc7qFDds1HcGZdXQ,t3PMaB-rB-oQlxLzrp7sYQ,,1,DoHx4OW6Gk9GHJNYnz8FeA,1,5,2008-10-26,1
NnbQKo8pWKfIr6rsOyXKuA,qevpE3BtQ9Wjnl9mnaKW_g,,0,DoHx4OW6Gk9GHJNYnz8FeA,0,5,2015-07-10,0
dYj2bFCak_Q3TXN4aGHZeg,dDEHAv2usVybKGH4xh2sqg,,3,xyTJYlbE_MLouK6rCou6zg,3,5,2009-11-02,3
toPDkXZXsLiyVYiC_3m5OQ,AiQKKCJ0kGoUHtJpGe7Few,,0,-7yF42k0CcJhtPw51oaOqQ,3,5,2011-07-30,1
Yeor4SyPHetnT28292KErw,XXaNgg3NfH639g-qdf_D1g,,0,q_DrPmiLrHEpR_SQvQXELQ,0,4,2009-05-05,0
igtMmhG6owqrNU4G8aMFTg,kUswmml1jnkA1iYPs15duw,,0,q_DrPmiLrHEpR_SQvQXELQ,0,4,2009-06-25,0
HINPtUCypYZtxLqw4Z3K0w,F5Rzpb1ITO3xjuLvjBjv6g,,0,q_DrPmiLrHEpR_SQvQXELQ,0,4,2014-06-26,0
CU-pJam2vDyFuwGjL3v_lg,nY1qCDAam8brZm4iCBj2Mw,,2,mPDE4dMqAyLZNCR-tEYQ5w,0,5,2008-02-25,2
hJB-BaGwITjOAteMbjm-Iw,#NAME?,,0,JcttlqJIusjo82_pxpz6oQ,0,4,2014-03-18,0
hVnKN10iRKwMqY1vt5rNCA,37g67MbjXVjugsBK6F6dYQ,,11,4uGHPY-OpJN08CabtTAvNg,7,5,2009-10-06,9
fczQCSmaWF78toLEmb0Zsw,YfyWE8zcq3abKxkTEJbWfw,,3,8z21chQa8cb7ZEiUk7yRtQ,0,5,2007-11-06,3
MDpEEJ3ywjkgpWBrRwOHBw,E-EmHZpti-S4vlCx6d9fqQ,,4,gGeVLZ9j_wAYKbaqgnKSJA,4,4,2010-05-18,3
4qGR9kNFDYQ4mQREG0aRJA,RypUgRsqwFBkL9W5pQXm_w,,1,bE1k5jf8HocN5snL73qqLA,1,5,2009-02-06,1
pXwEvW-wY8Lku8RuYZJCeA,exE-m6YHwBR_4vKNRLA_JQ,,2,vEeiIvhzz29rO-6EPFqkjQ,2,2,2015-05-28,6
LnTrX9BR240MXg3XJ0wsDw,ozWw2I1Rejy0On_AVlvwKA,,2,vEeiIvhzz29rO-6EPFqkjQ,2,5,2015-09-14,4
vUMuNs5I_Xo0fWaTJWCr8A,n7cXaaT9h8HvbLaPha8pMA,,2,vEeiIvhzz29rO-6EPFqkjQ,0,4,2015-12-13,2
eiInVGuYlh6ZUNlgk8j87w,TutbF2YiCdjLGTPyqj_yYg,,0,GXFGmNCR4jgT8toUBQp2Hg,0,5,2015-06-03,0
fwEPqYiyZCaB7QKY6a7h5g,fJpdI9JE9wQzognxpg-9-w,,4,zDC9LTbASSTxN-VRn9d7Kg,3,4,2014-09-15,4
zCC6huLkNBEr3JUgQyxJbg,LOrs0n3TMjEsP0HqjdDDkQ,,3,6YbF8_YCRDPXU0_iwh-sZA,1,5,2009-08-08,4
MIvCXHgE_vcKz7lYS5FPvg,ylM3TvlvnvhbnXG0aeUoPw,,0,6YbF8_YCRDPXU0_iwh-sZA,1,5,2011-08-31,0
DRA4e0h3MWY-oWgYbIb9AQ,60C8vk1FzPe000AzKA2Faw,,0,6YbF8_YCRDPXU0_iwh-sZA,1,5,2012-01-21,0
zvTN1CbOo16Y3xKPytf79Q,0ewE6CIeWjdL0lok_lXN3g,,0,6YbF8_YCRDPXU0_iwh-sZA,0,4,2013-12-10,1
X03V886rK9v4IL6_cg4Vdw,jqo5AYQ6hAVbdfGvDIwnxg,,0,6YbF8_YCRDPXU0_iwh-sZA,0,5,2015-09-12,0
hq0WUfau1Mh3GyHn8oVdNQ,OFysMDgB1_z_mpxYrU7Ilg,,1,zZ4Iy1h2elsmxiRwc4wuiQ,1,5,2009-04-07,3
MjA77EMY-ELa9r1HLBtmpQ,vzybazpOG6ngLI9hSKmV1Q,,0,I9KJCKeUFLXFWMcj8vDvNA,0,5,2012-04-17,5
mMHiCJiDL_H4tOpVkfGdAQ,zTCJJ2C-zhKdYeYGERVQKA,,0,EZlijGqVyqHvCVkJ-vpeoQ,1,5,2014-01-24,0
Qkyqu27pUqS9uJKqfqgD_Q,NJ1MKWJ1XDWUVJnyYNWEZA,,0,Pz7SWZQhxL6ZbhL9jE2NTA,0,3,2009-04-05,2
R7974G0OZp42mXPaV2Z3Kg,AWg_PWo98deL87pR3tETrg,,1,t2QVqqi4Mjf4y1uigc9Npg,0,4,2012-06-25,1
