user_id,review_id,,votes.cool,business_id,votes.funny,stars,date,votes.useful
2x2qN6ZWRZ4Zal8RmQAu-Q,2Mn6bfJUQy0bXXJUqfnf7w,,0,1z8GEz_Gr7qeBBuMp42WBQ,0,1,2015-09-09,1
WXLZP1PmTiYu3yaA-azP4w,YN1nyJzhQoEJOwonByXrTg,,0,dC6rDLGRoch_DOZk5kLkWw,0,1,2015-12-18,1
C51mCgb89mnR1YU0KkFxyA,8MjiFqMM2cONxcgjKP6JlQ,,0,yTQjQZzY8fsJ6F9n6nhSrA,0,4,2015-01-26,0
M96-DBTjf9VwBzTjYhG2JA,xLc7BjV35D6Mm_7cVKZg4g,,0,o-0IU3bcuXnxflPo14cjUQ,0,5,2013-05-07,1
NfFLfLqHW2EswH4Bt0xbXA,ORHZG5J3o4XvEZp-26ViFQ,,1,8Eh-lPCEXfGP72gQTct-lw,1,5,2014-08-28,2
LnTrX9BR240MXg3XJ0wsDw,ozWw2I1Rejy0On_AVlvwKA,,2,vEeiIvhzz29rO-6EPFqkjQ,2,5,2015-09-14,4
eiInVGuYlh6ZUNlgk8j87w,TutbF2YiCdjLGTPyqj_yYg,,0,GXFGmNCR4jgT8toUBQp2Hg,0,5,2015-06-03,0
X03V886rK9v4IL6_cg4Vdw,jqo5AYQ6hAVbdfGvDIwnxg,,0,6YbF8_YCRDPXU0_iwh-sZA,0,5,2015-09-12,0
xQpO4Jfi-Np3HLmJrQAe0Q,9AbTbrufLkclBRFWgq06cA,,2,vSA789zO5LaRbTSuvAafmQ,2,1,2013-10-15,7
vQsU5U-4nRUGKubRBl7Ihg,AMg4I6gdFNiDaY8Ad0zLSA,,0,HqX-wW-iRspulgRvE7eLiw,0,1,2014-03-29,3
9jRijAB4_UwUa-kaxymEHQ,C-bcph1ULeA6NAlXBKc6-w,,0,F0CzNZrJuKfpFFHjVZbkdA,0,5,2015-12-21,0
6nlkNTpTcVdZJomx6MbeQw,VsiIF-wdQFICGELE9N44sA,,2,11sc9AN_zSKTjPxsage_iw,1,4,2015-12-14,2
sTGXC6CIW-h0RgmTfMzP1g,kEkKp-BRQORbfF3HM-Z_uw,,0,St3jS0PnF1lulH1ggA4Jgw,1,3,2014-08-10,0
bL5rii_pSxU3jfqesmxMaw,ISTdZVM5x0oRnQPGZxPE8w,,0,8SgxmzOgLUCnkuVMs2NOrQ,1,4,2011-05-23,2
wJzMpk54FF2jeENqMBJ24Q,dqvJlo5JPGGsuzw57QWKzQ,,1,8SgxmzOgLUCnkuVMs2NOrQ,1,4,2012-10-11,1
xQpO4Jfi-Np3HLmJrQAe0Q,DZeQmNiUrULHWsfRCZ9_wQ,,7,OHsuvX4rmhnPvvRBb-QK7A,5,4,2014-01-27,8
0zVI2BY9q4ry5u5JhIlZyA,FBUs6_KWHLfX7rSOym_vhA,,2,OHsuvX4rmhnPvvRBb-QK7A,0,5,2014-02-03,2
HsKPpfcATrQ5Bb0ab9VQNg,OUjgfCmK1Ow7P7UyDu2PgA,,2,OHsuvX4rmhnPvvRBb-QK7A,0,5,2014-02-17,2
#NAME?,WmxyVskCdsj24w7evVqr4g,,1,OHsuvX4rmhnPvvRBb-QK7A,0,5,2015-01-16,3
hw0pdK9nZLBm_ZepzQ6GOQ,d94bjCz8Hl_KtwxPM0xXDg,,1,OHsuvX4rmhnPvvRBb-QK7A,0,5,2015-06-09,0
ar26BXwg2Eo4Ib9_CvOVNw,PT-z7qJdWFEBOJffPEFogA,,3,N-MS2PKUVC9qNLBa-J56Lw,3,4,2015-08-31,3
eIG6sVsj0WCMDsQ89jJcAw,lrCiqCns96x0lo9GdnP-5A,,0,jBU3y-V_F037YdTWuqF_uw,1,4,2013-08-17,0
2pc8QHukujKDhPT5qF15MA,NOkKyuIOz-Z3Hcbwg5f9RQ,,0,jBU3y-V_F037YdTWuqF_uw,0,4,2013-09-13,0
jXKEfRP-Ppz4Z5szRegthw,RiFTpuiVeehpjs3OCaXObQ,,0,jBU3y-V_F037YdTWuqF_uw,1,5,2014-08-23,2
71AkU_8YE2vhUwK4JtqN3Q,co3oYTrcDTt5LUiwRBzoMA,,0,jBU3y-V_F037YdTWuqF_uw,0,4,2015-10-04,0
dT0L293DmjNjSDtKyKqo1w,bgWkMzilla9mG2Ad_vZ7pQ,,1,mf17PmiZq4mfKWZPdJ6mRQ,0,5,2011-07-22,1
5gmnzvjYprzK21Q5awYF_Q,wDcEPrbyx9s4qQulE6wV6g,,1,mf17PmiZq4mfKWZPdJ6mRQ,0,5,2011-08-12,0
bL5rii_pSxU3jfqesmxMaw,cunfsgaffo0spfaRYobidg,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,4,2011-09-15,0
bL5rii_pSxU3jfqesmxMaw,OjxXwItnSQnZ9AQOPp687A,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,4,2011-10-15,2
_WaVElGHbkLLUniFGR808Q,KFkXztY8gIP_ssNZcBcrDQ,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,5,2012-05-03,1
BjwXX-sChcjx2E55B_7rXg,Bfe7JwyDk3B3Y1vbQ-os2Q,,3,mf17PmiZq4mfKWZPdJ6mRQ,1,5,2012-07-12,4
CdLftBll7-QXTYHtMYlINA,Mc41ktQy4su6tRtzwsLohQ,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,1,2012-10-06,2
wZqx1ba606Ollf4KHGZbLw,AKUJ57UvBu5rYQCGfxyD5w,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,5,2013-01-09,0
HEI-jpoChL2-gl2sANZsdA,H2orown6nozraUAX_JhwCA,,1,mf17PmiZq4mfKWZPdJ6mRQ,0,5,2013-04-20,2
9HhwtAe8mOQiI8_hXQhtXA,29Klo_ASzYFIUKVV0RK8fQ,,0,mf17PmiZq4mfKWZPdJ6mRQ,2,4,2013-04-28,0
mTL53a-7elKDc_r2DnnP_w,l-_u6Ld9wZ94X4lOfuF-hg,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,3,2013-05-07,1
rO3WEI9L-_deUR9-JHuNQw,QUR76c8C4BpCdvaHWI5G0Q,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,4,2013-07-21,1
pS8mkWHNVWcbcydWgudpOQ,WUdfTSfEEjYJXB8nVu7I9w,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,4,2013-08-02,1
uZbTb-u-GVjTa2gtQfry5g,j64cs-NFOKherWLrX5bU7g,,3,mf17PmiZq4mfKWZPdJ6mRQ,0,4,2013-08-17,3
zfb_dSwWV5mV4f_ZAgkYbg,SKrNy65TajWqEWN99B4guA,,2,mf17PmiZq4mfKWZPdJ6mRQ,1,5,2014-02-11,2
zfb_dSwWV5mV4f_ZAgkYbg,qGDZSQUH3J8D3mfzNqVSBw,,7,mf17PmiZq4mfKWZPdJ6mRQ,3,5,2014-03-04,13
b6rnC3ZQhU_02yqr7t5VEg,aW4555ZzAStN-yUdy3jxlQ,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,2,2014-04-05,5
K7tZpQlSqGYhPrwzHKSubA,kXw2z72OY6xT_Nddph7hGQ,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,5,2014-04-12,1
XQZTBienj3pS9TQ2Yl6h9Q,uHMEbfSk-X_QWW6tAIbYKg,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,4,2014-04-28,1
MrGFXBjZPcXyn3MlG-eGmA,tDOxBQgx6yZnCInu42XxXw,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,3,2014-05-03,0
iKDDbFu1lyA8-CVlGLFHcw,UypsKhaLXtUULmI0IqspJQ,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,4,2014-05-17,0
OpN1MhESDpc4_mPpx2Pd9Q,WIg8Dq2oZC8YXbTePtuywQ,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,4,2014-07-30,1
gIsvq2oOijOtWgECib7_1Q,3oXJSFTGs0XRzqEXGz7zGw,,1,mf17PmiZq4mfKWZPdJ6mRQ,1,3,2014-08-24,2
2wkGOromHDttJOhfsNn8qA,sMsRi2Ga_3mZIk2OsdfGWg,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,4,2014-09-05,0
KGkWK430chvc-7clyRWgeg,ujz9t56NKvA-OTV4-dqXXA,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,5,2014-12-23,0
eAFLaxnbHxWNYxehlGBaDA,qqJIF-zZOkx-wLhkZPy2dA,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,4,2014-12-27,0
yqYVE82cgrfTVRlnhmVcxA,TtMmLz0ygPpupz5VkRjKtQ,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,5,2015-02-11,0
wrmwqfASV6ivJHf7BQRyJg,5kx8_MpaoHyVURF8afbzlg,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,5,2015-02-12,0
J9wdkT2P98tLikOs-rUhUQ,Bxyd_ZtuBV3NJ_SKN2sXaA,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,5,2015-02-21,0
4OqPlbV4Mz-PL26WgMwHYA,EVxLy1ssVbnhRJXxcv1c2Q,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,4,2015-03-07,0
ZvtLhgdn8l0FH7A4jMvHyQ,u8VA7ab7wG2s8BpvrKkPWA,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,5,2015-05-18,0
_W7kk9YtWWXd9fVsRumzAQ,D_xVxTzyBc8naQShSVbztg,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,1,2015-05-27,6
9gVYF5tbTYqJQsFZjC4sdg,lc51pObe6w9RX9KLAvES8Q,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,5,2015-07-23,0
wXU_IQrZ61zBiPBxxRaRhg,SOY9Bt317bvCcyOmOyZIAQ,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,1,2015-08-30,0
jsXldJRsm5tsIQLfbLa1jQ,XGEkd6eClYytK2ywq0ookg,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,4,2015-09-24,0
QU05KtV0AQ0NwHFtf2mRug,O4uhal829OM02owvX-PYwQ,,0,mf17PmiZq4mfKWZPdJ6mRQ,0,2,2015-10-31,0
7FCQyCvu6My5WkKsLInVKw,Lrwh52eLBy7fkBlE7XQ8Zw,,0,ZEdaJ8mcMpPiFWgDuSPqeA,0,4,2015-04-15,0
