user_id,review_id,,votes_cool,business_id,votes_funny,stars,date,type,votes_useful
9Z05mtXrXJ-22PElwp1ahA,NbAPUxv7BeBox8MCecsP6A,,0,Bc5bgPG1MlTc75G0A-_7fg,0,4,2006-01-12,review,0
1sIP6D-sLgqRfelzY1HkTA,gjgs5ke-v0wGeoGmtaTi6Q,,2,TLpp1z1Jyb8D3N6mKliUgw,2,3,2006-10-01,review,2
zTWH9b_ItSdLOK9ypeFOIw,OP1JXS_oaZeKxDkerUfVBw,,4,TLpp1z1Jyb8D3N6mKliUgw,1,3,2006-10-31,review,3
chnJ3SOt6tFbrhtRAG-sTw,PaMGIIFwN4tch55Wn3Emiw,,0,bqYrEwL5xjqv0u8XAij--Q,0,5,2007-05-21,review,1
RsS6jUNram-5svM78_fdbw,T_LCwvekvv_-rAsug_sehw,,0,5vQr22h6RJm6-5zz9MLUtw,1,4,2007-05-27,review,0
SNBJb9xiaRJ0ohHhugwn_g,4Ir16BnsjiKVbrvr3avi_g,,1,6qnB6AQSur85BLx6c11dOA,0,4,2007-06-01,review,0
8WQubmP7G0NM3IyzyMnCEA,h-cPubgIAK148w4ziboEiA,,2,HhNY3X0kyrN5682La6N6Cg,1,4,2007-06-15,review,2
SNBJb9xiaRJ0ohHhugwn_g,sTrfUl4u8OyKYkxYyJpZYQ,,0,bqYrEwL5xjqv0u8XAij--Q,1,3,2007-06-21,review,1
BnYUMeLAoRVmtQVr-zTxnw,7roV6XA0KqOhxnV9lwQsPA,,1,6qnB6AQSur85BLx6c11dOA,0,4,2007-06-25,review,1
23zYCcnqfru5jdxnTqjgDg,re8S6mJqrCd5EINSDpYMuQ,,2,tPmjepYrjiKyfGOpedyDBw,6,3,2007-06-25,review,2
pBM1Mt7e2E08xqsnSvpAdw,G3xBzep-eYGeOQSLoaffBQ,,4,bkm38p8gjvYqzNROj3oYrQ,6,4,2007-08-11,review,5
VBEbhE0ISjg6xowGNiGmgQ,ZJBz1lYk3in4Es7S0Gq7Tg,,2,HhNY3X0kyrN5682La6N6Cg,1,5,2007-09-03,review,1
2jzddH9WaqFsOHZD6eEkOg,CoeJtSZP6C7ahGUiuMcSVQ,,0,Bc5bgPG1MlTc75G0A-_7fg,0,4,2007-09-12,review,1
zTWH9b_ItSdLOK9ypeFOIw,hY9i4oLqTxhPHLwhk3M0WQ,,3,bqYrEwL5xjqv0u8XAij--Q,2,3,2007-09-14,review,4
HQEATnnZVrtamKvwyQrpHQ,0oLalZY4gwDpP6F0DWMt4w,,0,bqYrEwL5xjqv0u8XAij--Q,0,3,2007-10-15,review,0
OMWXR71yz3yuQ2f3BkcGrA,M8XMifGLlC2flBi064Vypg,,0,bqYrEwL5xjqv0u8XAij--Q,0,2,2007-10-28,review,0
jJx-E65KXLxdXxpZjyN0vg,Ohn6-pkkmiZMHCLygGaMLA,,0,fCfHTImR20vtL1koU_H9eQ,0,3,2007-11-24,review,1
HVRzv8m1eAZQtG_DKnQoUQ,83xp2jcNgmV2OHT0QPaAtQ,,0,bqYrEwL5xjqv0u8XAij--Q,0,4,2007-11-29,review,0
QpGevTllgXs0YzvrXdBf-Q,o2IDF6ldkkSG-PHXdieEVQ,,0,qkc9xYbOFDLhPyA6Kdr8lQ,0,5,2007-12-12,review,0
9rZ1DWzXRH3RcLoCj5U6_Q,XuTt1HEXI7y2KVhyYwSGwA,,1,Oz1w_3Ck8lalmtxPcQMOIA,0,5,2007-12-18,review,3
VJjlRu2Hg2VgaN1P2GVdbA,PPjih-LJ1TvSbwNiTEGRFA,,2,EQetIqGHuxwoOOqAP5_fnw,0,4,2008-01-05,review,1
HNFMWIiP4FZKasYds855tA,pyRZ5zQSUffvzccoztiPXg,,0,qbXEkNp310Mc0CIs0YJdSg,0,4,2008-01-08,review,0
WmAyExqSWoiYZ5XEqpk_Uw,HQP7DoSRApOhYbyOXVQY9A,,2,bqYrEwL5xjqv0u8XAij--Q,1,4,2008-01-09,review,6
JBlcfu6tqQ5l7NmkyFVv9w,TrZXbJpi2R3KvudmL4GMSg,,3,f9eFteZuBoZqzYg5UUrufw,0,4,2008-01-18,review,3
Dg560aU9ymlloG-TOPx0Vg,b1HMa2M8D6pQdq-NrfQWbg,,0,bqYrEwL5xjqv0u8XAij--Q,0,5,2008-01-22,review,0
6kmu0mYbdpMIOZ6Y0eVsxg,uAqVZqaoRbhEtOMiokra0g,,3,Oz1w_3Ck8lalmtxPcQMOIA,3,5,2008-01-31,review,1
4dnDsoHuxUtzhaumxbpR5w,U_d-RWaxyLkvX6dGCGKReg,,0,f9eFteZuBoZqzYg5UUrufw,0,4,2008-02-01,review,2
CAlxnkAuqNetlUmWtCQ_eQ,4ENxqRK557A7pa328wTHjQ,,0,HhNY3X0kyrN5682La6N6Cg,0,5,2008-02-01,review,2
mU5GwCA4uiD0-RH1qt3jrQ,x_mfZv-3kEPkjb-2sMmynA,,2,ozWBsvbeM2LSPsRDsYKr1Q,0,3,2008-02-01,review,1
ZfavZCU-AfT-cU1QTl_1lg,mJLU0-6pFO1sVjfbPo3HJQ,,0,bqYrEwL5xjqv0u8XAij--Q,0,3,2008-02-10,review,0
yf12P_T0AKLNzFt12zj16g,623_OShIKs3uyunXflxubA,,1,bqYrEwL5xjqv0u8XAij--Q,0,3,2008-02-13,review,2
WmAyExqSWoiYZ5XEqpk_Uw,jtJtxiwEtezytYdq0DfvXg,,3,fCfHTImR20vtL1koU_H9eQ,4,4,2008-02-13,review,4
AnH84g9V10x41CXmCvcaFg,EelTaI8KtiZbpC_yHAm6UQ,,5,5KG0A3WlC7K3DAXtrIFFjg,1,5,2008-02-16,review,4
AnH84g9V10x41CXmCvcaFg,FnsGJCUOMXiWfTiO0lwpnw,,2,tqDwpyCB53TiEIv915Tuww,2,4,2008-02-21,review,2
AnH84g9V10x41CXmCvcaFg,HVG_K7YzYZEBQF8D_ALwYA,,3,RUZvUPOn90ScX60eETwcCw,2,5,2008-02-22,review,3
AnH84g9V10x41CXmCvcaFg,yzeGnOCbNr4peK7Q_uenDQ,,4,HhNY3X0kyrN5682La6N6Cg,2,4,2008-02-23,review,4
4dnDsoHuxUtzhaumxbpR5w,bFq2awn2uzPuD8MW2C0wEA,,1,Cuea3kWprROWMo14gCUzTw,1,3,2008-02-25,review,2
WmAyExqSWoiYZ5XEqpk_Uw,WIxuerdyvQy9c6_gZO0PyQ,,0,qbXEkNp310Mc0CIs0YJdSg,0,4,2008-02-27,review,0
Go3UGk4VrSvactI09vGdmg,_yY3qdSOnUhL7HvgZuV8Ug,,1,33aOj9haiHsULCUmFOZ7uQ,0,3,2008-03-03,review,2
9U0tXUDnamRp_uTNDOM1XQ,9gwexNBHNqYAcUJOYa8x4A,,1,bqYrEwL5xjqv0u8XAij--Q,0,4,2008-03-03,review,1
Go3UGk4VrSvactI09vGdmg,bnkDz7mkR3f4gE78kVSqJQ,,2,Yq8LiVymGA7vBpGCQuDfRw,1,3,2008-03-03,review,3
0y9qZZLauQ3sPp-G-NcE7Q,LXmscogBsJggu2yJC_MbbQ,,0,q28CkzJaV5yKPXysY8xewA,0,4,2008-03-16,review,0
4dnDsoHuxUtzhaumxbpR5w,mEzdwo3BmiBoZn4TezYf3w,,4,Oz1w_3Ck8lalmtxPcQMOIA,1,5,2008-03-18,review,5
wRD-UOmN5K0dlX5aMjm5gQ,pkiwzXjypzvH-RxWukXkUA,,2,R1RjCYfRZm9inTDQVVpUGQ,2,5,2008-03-22,review,4
0pXG53YeF6JTORpby6wpyw,_ctmUIcDsOnWxPqloI4psg,,0,aNT8asMBtMhc35a9EH7zrw,1,3,2008-03-28,review,0
fczQCSmaWF78toLEmb0Zsw,ohKGQCLmCyFI75h-Bz9Kdw,,8,Oz1w_3Ck8lalmtxPcQMOIA,5,5,2008-04-03,review,8
