user_id,review_id,,votes.cool,business_id,votes.funny,stars,date,votes.useful
oc4Ne7SJo4WGdzbm6jtCXg,mdhu0lpjxpkQeNzjnFJ8jQ,,1,LHyGQnuWR2q44bsrw1ZLAg,1,3,2014-12-21,2
#NAME?,xgxyx_x28-6CyukmNkkoFQ,,0,bsEJKduEgoBhNNNHO4ZHEw,0,5,2013-07-13,0
_aMz2TsaWs7yCPY2P5Ti8w,thiJ5FrE9av2XCKTP9eDgw,,0,YQKZafMWvIVXfLrM_QjQ1Q,1,5,2014-04-20,1
SKqR-l-Dmy0grYfeF9ECAg,dVCFs7dsoqnzPA5djSUf8Q,,0,YQKZafMWvIVXfLrM_QjQ1Q,0,3,2014-09-21,0
v26k4Bzy9GiLLlSmDk8LfA,jiTbkv4g6dddXMgwdB7xwg,,0,YQKZafMWvIVXfLrM_QjQ1Q,0,5,2015-03-05,0
sHeD1MXfvJsLSOd9vwQyBQ,WeDnK6RsQfJk_KerKRy8ng,,2,sTufgHOeDZ6Fz-BgpGGViQ,2,4,2014-08-17,2
g1a4OLgGSWMLOGEwcsb3fQ,BmuiAxxwlySUdeb0inAilQ,,0,zZOGDas7D3Qw2jrwaN2IPg,1,5,2014-11-14,2
nQKl5jZJTNgBAjZDhMxYCg,bR_BRpoCt50kJsRGnMsPQQ,,0,IyFBccpU5DlK2ZqZFhRoaw,0,3,2013-11-06,1
jJdmIcmLC5X5LI_ljKIflg,iOmDG0YFq5V6BPpOuzQt7g,,0,259TmptwDUjXWgPlKf52Tw,0,4,2015-06-03,0
BS_nh8pIZQLpla7mpoD10w,sWp0LOoJ_qz_psgEagYprQ,,3,w4SGmsvFzqyAIs7CSQ_J-g,2,4,2015-11-16,4
_i32UovzRbmNtC5iU4uLWw,WDzENzaeV1hiBg4sBv7Q2w,,0,P0kIWqaoOjIJEtJBydFvoA,1,5,2013-10-16,1
iqaepzMud7yvUu41zRU6Ag,QOhTPqKSIp6cHvA4N-maMg,,0,bZX-b9fInWIk8j3Y50uBWQ,0,4,2012-04-25,0
4ozupHULqGyO42s3zNUzOQ,Ijet2QUgh6MGPri3KE3vQg,,9,K_4eqmOoO7r0FbgQIZzq_Q,5,5,2013-06-30,10
