user_id,review_id,,votes.cool,business_id,votes.funny,stars,date,votes.useful
T_wjLgPOPXry7Bea4MzoVQ,uHLsTyhQN5LDc8ptZICyfw,,1,3gmBc0qN_LtGbZAjTtHWZg,0,3,2009-11-10,1
sv6tpqP2oMgBS7nv3JW2lA,3xCIyj-wsDoA3sJT1_cgQg,,0,UtWJ8NGMg-3z28s0RzlUoQ,0,3,2014-06-14,1
9OZH1Ecw-qUkCW5MS0NefA,NvANy-3_M7Ga4I_UU2kB4w,,10,gFT2yXDXJ1qfuGOSfSU5Bw,11,3,2015-01-08,15
m-F1KO942lzUKR5OqE7wlg,6XY-S0NRy5xWXbpmMwuepw,,0,kj3qws3WSMgOotUeACSdFA,0,5,2013-12-12,1
nEYPahVwXGD2Pjvgkm7QqQ,t7t9GqvorCgQms3wJMOtxw,,4,DJKpwLp4mISNDNDpNz67tw,4,2,2012-05-22,6
WTwOk_lLwhFYrTWx92Mg3Q,0U7e0O_nvpRFNmVLKrYLag,,1,9SPwF-vRgtuHxciFxv5YLA,1,4,2011-12-28,3
ZculRzt8WIueMjhf-GgOWA,JYIYweVMkK2amLJLcbSaBw,,2,3Q0QQPnHcJuX1DLCL9G9Cg,3,4,2013-12-17,1
oTZ2SuhCU0NvhoctjCRtiw,zsQUPr7I2fJGM6ZJUbEPig,,0,xX0o2QJDELtcnLbzlEwhhg,0,4,2012-06-27,0
oFhtzLhXS1iENWoBMdWk4w,kW0TgQ-VLSfpWudVsMDyug,,0,zKJ-FLl4v-H5Gx3_A8AGcg,0,4,2009-07-09,5
Q_GXQnF7sSwA1uCWC6uJSg,1cpxNcl8iecbZX9ITUJxQw,,0,3jpKGDkFrCHpjEYVEgcG0A,0,2,2015-12-19,0
QIubbePZBQwe0De4vWmplA,yQkKQ37pqNMkpkltJSrHfA,,0,tE8MQ9I7E2_Xvm4AvykXrw,0,1,2015-12-10,1
xUW77SZf5l2bfp7kabCVwA,UilW80zTLaV1TPicBaMTWA,,0,ciRNik0_EdguibEypTspFA,0,5,2013-04-17,0
ru6uX6w_ms7B_Q3U7wMYbQ,OG1WTCMAsYBBdBD41ViToA,,0,e5kc0CQ4R-PCCDgb274gSg,0,4,2011-01-08,0
aThkIdpPnim8OLES1WVvgA,xoqfJM98tSAl1PVnenX1JA,,0,e5kc0CQ4R-PCCDgb274gSg,0,2,2014-12-20,1
E3PCAkaftZ848ZbHoE5FzQ,d6WhTExacZuJUTj5HzDA_g,,5,po5FyERB4lUZNnBIwnhFlg,5,4,2013-07-05,6
vIBrfx6z6wvUFN5IJDLNyg,KdUb_UzUyDyZbm_CvIKTPQ,,0,1Ap6ZNCvyLLKHP0wvCk9yA,0,4,2013-12-14,0
THYIqfnLV54VZ_v2hCfq2Q,0r63F3b_i6-Y7Tp0dmDSmw,,0,TGb6D6zmx1KP4aDDH5Aihw,0,3,2012-01-19,0
uOdEsOgPW48Ky4j8U8CEcw,1HnwaED16ZeY44ogkgfIOw,,1,mOwAbR9_RgBQuFtr71UtzQ,1,5,2011-03-30,1
MnDHJvePh4cWMrBgOp0_Ig,DIh1yAoF5wF3kT9wMo2uQQ,,0,2h9LsLPdJ7OvZrYJZhVdAw,0,4,2013-05-15,0
QiLOh5KHp81eiju-n-z1Ng,kenI5MpiRMSyOJ_Ac08Fww,,0,69t2S1u7Rf6qM_c14b42xQ,0,5,2012-08-05,1
