user_id,review_id,,votes.cool,business_id,votes.funny,stars,date,votes.useful
igSbsyeE2C0_17dFt_y_dQ,nfb5FKA5F_NGPsOLsfWlHQ,,1,6ilJq_05xRgek_8qUp36-g,0,3,2012-08-09,0
I2zYqls8VMzjdzBAEPR0Iw,bire2mjcDyzZmkrK4IZgoQ,,0,FiXamVMgMf9U0VqFHDZSEA,0,2,2014-07-17,2
6QhWTugzBJ3cdv2N4WZcSA,k2KecKq2WpLBZvf4fcBawA,,0,eznh0XjVtv924K-KYx_ilQ,1,1,2010-07-02,3
aX4Mqd3w6xz7LNlK1LQWMw,A2HdwfFo3lfeX6w3JSudnA,,1,eznh0XjVtv924K-KYx_ilQ,0,4,2010-10-10,0
ZCITxW-n5phcErX7ae1VqA,DKTvDFsRrAEGBOQo4plOsw,,0,usSROUMiAgPcxV3Ym0OxMQ,1,1,2015-03-10,1
5yC_sdGnYfXTX7Djp_4SVQ,9mVDyUano9-a-dIoOjTY3Q,,0,8Nm_jcCYtMXYW0ODSHDiXA,0,5,2014-07-26,2
AtLRo5Dx0ir00RK_3lhxKQ,Z99-JRzO6DN1_bQCvSgrIw,,1,ZDKi3qsO8lSSogrIdbLJKg,1,5,2011-05-25,0
Q3fFv_ft17OyV-NRF1iQxw,WQZLbjXNp2IdJdx_qaf9ig,,0,2SwC8wqpZC4B9iFVTgYT9A,0,4,2013-01-06,1
nCJTCp_qXJTBBFxjOQcvMw,-007jwHgSLxrWE0ATR69dA,,0,2SwC8wqpZC4B9iFVTgYT9A,0,4,2015-06-24,0
igSbsyeE2C0_17dFt_y_dQ,hwE_EJw0f-UjxGmSAK9tUQ,,0,2PfavOTufsPCRdYm-bFcpw,0,5,2012-08-09,0
MSuyK2p8G9hEqyWf5IgnYQ,C35W7YHshPLH67-gw4Hmhw,,2,2PfavOTufsPCRdYm-bFcpw,0,5,2014-07-10,1
GFsxmmu-pkTz6EuTCHoffA,Ybnrm_fJrG-BEowqJo523g,,1,2PfavOTufsPCRdYm-bFcpw,0,5,2014-08-17,0
bXb6NeEXi6cu6bPvqWN73A,2TBGSJrSJm_HxP1MAgg2XQ,,0,2PfavOTufsPCRdYm-bFcpw,0,2,2015-08-09,0
_vS9qNQvx8wVUOIkj4qfAg,VsrUopxalL9JGsvNBR9jhQ,,1,QIJa5h2d65Bgh82zct7c7A,2,4,2011-02-02,4
IqjFenVF7ofLICCug9DfgA,4UoAxvVdpzGivR497mEdgQ,,0,Z101WZaISochG6g7tI2ZVw,0,3,2015-03-22,0
kTucxiqnRk2Qlh9MC1tRbw,YH1UT5G8dom8HOF3F1AWqw,,1,ORTRrw3ClZ0Ld0LgY1H_5g,1,4,2008-08-20,1
nEYPahVwXGD2Pjvgkm7QqQ,bIfDjrksoXPeG9oLXh6KUQ,,2,ORTRrw3ClZ0Ld0LgY1H_5g,0,4,2011-05-21,4
9HCfCmd0t5GErgm7He6AeQ,GhjEWSwng-mv2U8cQcIHGg,,2,9aw0t0rlACKkMaxsX0KlKA,1,4,2015-05-24,2
tx4XvjDlactzL7SlNnR9XQ,k03_vsuAK1Ez9BHbfXu3vA,,0,2Igiyhi82R8_QaaPplRmCw,0,5,2008-10-09,1
qCIbHnnzP8G4DFiSA13f8g,JSY1lPn6zPvLKhPGz2cQTg,,0,2Igiyhi82R8_QaaPplRmCw,1,5,2012-05-17,2
PnEezX1d76TRbLratLUnTw,bLoG0hZyAD151xcRyYsa7g,,0,2Igiyhi82R8_QaaPplRmCw,0,4,2015-12-04,0
wNtyBJa_qaRYUew_TWplgw,8Y2ZttiCBaIz-oF5R8nPBA,,0,hhNlQWaKqGbMPoeZHoL-IQ,1,3,2009-06-21,2
op2Gve4sAMQ4qEzq2Tad0g,Os_v2K-S7hfVKMTNl7kT3A,,0,hhNlQWaKqGbMPoeZHoL-IQ,0,3,2014-11-16,0
mTN_mbCjKBZvrh5BwEsThQ,wpaPlCXrjmGgzYhBZP-wHg,,0,xSYGuHecEWP7At0HYbO5Jg,0,1,2015-04-05,0
qezuW5Y1_wxwMceSMSvcVA,CGD15Vvky4z-g_8CUXpAiQ,,2,FtjvnLhh51ZBYEpKAARaFQ,0,5,2015-04-08,1
sOnj2ToEH_q-pajhmHsI4w,LqAd1W57KibWzdb6e0Ta9Q,,3,z4cCguoHdU48pj6sXMIzqg,2,4,2009-07-20,3
qnxh-3mYWWPN_k6OkmSJiQ,xER3yzfIMsG2Dp5Wjos5GQ,,0,OxIeMVcop5oxBUWANi-1Rw,1,3,2013-11-11,3
f9LuLzqLMNJJoV3zmu6dBA,uX_3agwPF-cOaqqCtOb0nw,,0,OxIeMVcop5oxBUWANi-1Rw,0,3,2013-12-15,2
tqf0HU3a1-AgocYSZGTmmQ,4Dd8jnjeXIl9iqPxCNcFAA,,0,OxIeMVcop5oxBUWANi-1Rw,0,5,2014-02-05,1
k2v6e52IAL1daBeNogxBqw,prGQ2D6bPzGKFe6tYjpCng,,1,OxIeMVcop5oxBUWANi-1Rw,0,3,2014-05-03,1
MSuyK2p8G9hEqyWf5IgnYQ,UHECOLHhzzPTebtFjEPjbA,,1,OxIeMVcop5oxBUWANi-1Rw,0,3,2014-09-21,1
6xQnzz_TS0skNM1GIK8j8w,TgMQRUK4yM1Q3oItgHJqzQ,,0,OxIeMVcop5oxBUWANi-1Rw,0,4,2015-07-01,0
jiZRd36mpIEU5eIC0EjpCg,W-PD035JdG9EPnr-fd7zGQ,,0,OxIeMVcop5oxBUWANi-1Rw,0,5,2015-10-05,0
UFr-WCtnNbX8O3sI7h4qeQ,7yCQ6wNykE5isdhem7ilDQ,,0,wHi8ODv7TGmeUB02XoX-mA,2,5,2007-07-27,6
bXb6NeEXi6cu6bPvqWN73A,pEjVXX6AXRSS7giDq5XQrw,,1,90Fqfzd8zD9AuuNBSv9lAg,0,3,2015-08-09,0
